type	time	latitude	longitude	altitude (m)	distance (km)	hr	name	desc
T	2016-11-13 10:28:02	51.362536000	-2.762855000	20.2	15.962	114		
T	2016-11-13 10:28:03	51.362445000	-2.762831000	19.2	15.973	114		
T	2016-11-13 10:28:04	51.362352000	-2.762818000	18.4	15.984	113		
T	2016-11-13 10:28:05	51.362254000	-2.762806000	18.4	15.994	110		
T	2016-11-13 10:28:08	51.361996000	-2.762831000	18.4	16.023	109		
T	2016-11-13 10:28:09	51.361905000	-2.762874000	18.4	16.033	109		
T	2016-11-13 10:28:12	51.361701000	-2.762943000	18.4	16.058	110		
T	2016-11-13 10:28:15	51.361526000	-2.762830000	18.4	16.082	113		
T	2016-11-13 10:28:17	51.361394000	-2.762719000	18.4	16.098	115		
T	2016-11-13 10:28:20	51.361189000	-2.762551000	18.4	16.124	115		
T	2016-11-13 10:28:23	51.360984000	-2.762373000	18.4	16.151	116		
T	2016-11-13 10:28:25	51.360878000	-2.762213000	18.4	16.168	118		
T	2016-11-13 10:28:28	51.360761000	-2.761891000	18.0	16.194	117		
T	2016-11-13 10:28:29	51.360754000	-2.761769000	17.4	16.203	117		
T	2016-11-13 10:28:30	51.360749000	-2.761641000	17.0	16.212	117		
T	2016-11-13 10:28:31	51.360743000	-2.761516000	16.6	16.220	118		
T	2016-11-13 10:28:32	51.360729000	-2.761388000	16.2	16.229	118		
T	2016-11-13 10:28:33	51.360714000	-2.761265000	16.2	16.237	117		
T	2016-11-13 10:28:34	51.360688000	-2.761145000	16.2	16.246	118		
T	2016-11-13 10:28:37	51.360583000	-2.760824000	16.2	16.271	118		
T	2016-11-13 10:28:38	51.360544000	-2.760721000	16.2	16.279	119		
T	2016-11-13 10:28:40	51.360457000	-2.760540000	16.2	16.296	121		
T	2016-11-13 10:28:43	51.360324000	-2.760247000	16.2	16.320	120		
T	2016-11-13 10:28:49	51.360058000	-2.759653000	16.2	16.369	121		
T	2016-11-13 10:28:50	51.360001000	-2.759590000	16.2	16.377	121		
T	2016-11-13 10:28:54	51.359744000	-2.759439000	16.2	16.407	121		
T	2016-11-13 10:28:57	51.359540000	-2.759533000	16.2	16.430	121		
T	2016-11-13 10:29:00	51.359342000	-2.759686000	16.2	16.454	120		
T	2016-11-13 10:29:02	51.359202000	-2.759753000	16.2	16.469	119		
T	2016-11-13 10:29:06	51.358947000	-2.759907000	16.2	16.501	122		
T	2016-11-13 10:29:08	51.358827000	-2.759996000	16.2	16.517	123		
T	2016-11-13 10:29:15	51.358390000	-2.760421000	16.2	16.573	124		
T	2016-11-13 10:29:18	51.358220000	-2.760665000	15.8	16.599	124		
T	2016-11-13 10:29:19	51.358159000	-2.760744000	15.4	16.608	124		
T	2016-11-13 10:29:20	51.358088000	-2.760811000	15.0	16.616	124		
T	2016-11-13 10:29:21	51.358015000	-2.760865000	14.4	16.625	124		
T	2016-11-13 10:29:22	51.357937000	-2.760910000	14.0	16.634	124		
T	2016-11-13 10:29:26	51.357636000	-2.760936000	14.0	16.668	124		
T	2016-11-13 10:29:29	51.357438000	-2.760757000	14.0	16.692	125		
T	2016-11-13 10:29:31	51.357319000	-2.760619000	14.0	16.709	126		
T	2016-11-13 10:29:35	51.357063000	-2.760383000	14.0	16.742	127		
T	2016-11-13 10:29:40	51.356776000	-2.760193000	14.4	16.778	128		
T	2016-11-13 10:29:41	51.356719000	-2.760178000	15.0	16.784	129		
T	2016-11-13 10:29:42	51.356671000	-2.760167000	15.4	16.790	129		
T	2016-11-13 10:29:43	51.356615000	-2.760160000	15.8	16.796	129		
T	2016-11-13 10:29:44	51.356569000	-2.760152000	16.2	16.802	129		
T	2016-11-13 10:29:47	51.356408000	-2.760157000	16.2	16.820	132		
T	2016-11-13 10:29:54	51.355952000	-2.760283000	16.2	16.872	130		
T	2016-11-13 10:30:01	51.355439000	-2.760394000	16.2	16.930	131		
T	2016-11-13 10:30:07	51.354967000	-2.760505000	15.8	16.984	128		
T	2016-11-13 10:30:08	51.354887000	-2.760504000	15.4	16.993	127		
T	2016-11-13 10:30:09	51.354803000	-2.760494000	15.0	17.002	126		
T	2016-11-13 10:30:11	51.354622000	-2.760464000	14.6	17.021	125		
T	2016-11-13 10:30:12	51.354534000	-2.760451000	14.2	17.030	125		
T	2016-11-13 10:30:19	51.353978000	-2.760278000	14.2	17.094	123		
T	2016-11-13 10:30:26	51.353555000	-2.759852000	14.2	17.151	124		
T	2016-11-13 10:30:30	51.353316000	-2.759621000	14.2	17.182	126		
T	2016-11-13 10:30:32	51.353183000	-2.759560000	14.2	17.198	126		
T	2016-11-13 10:30:34	51.353046000	-2.759530000	14.2	17.213	125		
T	2016-11-13 10:30:38	51.352783000	-2.759432000	14.2	17.243	124		
T	2016-11-13 10:30:41	51.352605000	-2.759325000	14.2	17.265	124		
T	2016-11-13 10:30:42	51.352560000	-2.759272000	14.2	17.272	124		
T	2016-11-13 10:30:45	51.352478000	-2.758992000	14.2	17.294	124		
T	2016-11-13 10:30:46	51.352459000	-2.758892000	14.2	17.302	125		
T	2016-11-13 10:30:51	51.352330000	-2.758423000	14.2	17.339	126		
T	2016-11-13 10:30:55	51.352218000	-2.758043000	14.2	17.367	129		
T	2016-11-13 10:30:58	51.352120000	-2.757761000	14.2	17.390	129		
T	2016-11-13 10:31:06	51.351859000	-2.756982000	14.2	17.450	129		
T	2016-11-13 10:31:07	51.351826000	-2.756885000	14.2	17.457	128		
T	2016-11-13 10:31:15	51.351562000	-2.756159000	14.2	17.516	130		
T	2016-11-13 10:31:18	51.351451000	-2.755891000	14.2	17.539	130		
T	2016-11-13 10:31:20	51.351351000	-2.755751000	14.2	17.554	130		
T	2016-11-13 10:31:23	51.351169000	-2.755631000	14.2	17.576	131		
T	2016-11-13 10:31:24	51.351108000	-2.755609000	14.2	17.584	131		
T	2016-11-13 10:31:26	51.350988000	-2.755565000	14.6	17.598	132		
T	2016-11-13 10:31:27	51.350930000	-2.755543000	15.0	17.605	133		
T	2016-11-13 10:31:28	51.350870000	-2.755515000	15.4	17.612	132		
T	2016-11-13 10:31:29	51.350813000	-2.755487000	15.8	17.618	132		
T	2016-11-13 10:31:30	51.350760000	-2.755467000	16.2	17.625	132		
T	2016-11-13 10:31:38	51.350342000	-2.755359000	16.6	17.673	133		
T	2016-11-13 10:31:39	51.350295000	-2.755349000	17.0	17.679	133		
T	2016-11-13 10:31:40	51.350245000	-2.755337000	17.4	17.684	133		
T	2016-11-13 10:31:41	51.350196000	-2.755321000	17.8	17.690	133		
T	2016-11-13 10:31:42	51.350149000	-2.755304000	18.2	17.696	134		
T	2016-11-13 10:31:46	51.349962000	-2.755222000	18.2	17.718	135		
T	2016-11-13 10:31:51	51.349726000	-2.755123000	18.6	17.744	136		
T	2016-11-13 10:31:52	51.349682000	-2.755097000	19.0	17.750	136		
T	2016-11-13 10:31:53	51.349638000	-2.755073000	19.4	17.755	136		
T	2016-11-13 10:31:54	51.349591000	-2.755046000	19.8	17.761	136		
T	2016-11-13 10:31:55	51.349547000	-2.755017000	20.2	17.766	135		
T	2016-11-13 10:32:01	51.349309000	-2.754816000	20.6	17.796	133		
T	2016-11-13 10:32:02	51.349271000	-2.754783000	21.2	17.801	133		
T	2016-11-13 10:32:03	51.349233000	-2.754751000	21.6	17.806	134		
T	2016-11-13 10:32:04	51.349196000	-2.754721000	22.0	17.811	134		
T	2016-11-13 10:32:05	51.349155000	-2.754688000	22.4	17.817	135		
T	2016-11-13 10:32:09	51.348985000	-2.754549000	22.4	17.838	135		
T	2016-11-13 10:32:18	51.348566000	-2.754214000	22.4	17.892	134		
T	2016-11-13 10:32:25	51.348192000	-2.753892000	22.4	17.939	133		
T	2016-11-13 10:32:32	51.347826000	-2.753557000	22.4	17.986	132		
T	2016-11-13 10:32:37	51.347614000	-2.753267000	22.8	18.018	132		
T	2016-11-13 10:32:38	51.347576000	-2.753212000	23.4	18.025	132		
T	2016-11-13 10:32:39	51.347543000	-2.753152000	23.8	18.031	132		
T	2016-11-13 10:32:40	51.347509000	-2.753102000	24.2	18.037	131		
T	2016-11-13 10:32:41	51.347473000	-2.753049000	24.8	18.043	132		
T	2016-11-13 10:32:45	51.347347000	-2.752760000	24.8	18.067	133		
T	2016-11-13 10:32:52	51.347082000	-2.752247000	24.8	18.111	135		
T	2016-11-13 10:33:00	51.346767000	-2.751685000	24.8	18.161	135		
T	2016-11-13 10:33:01	51.346732000	-2.751619000	25.2	18.168	135		
T	2016-11-13 10:33:02	51.346694000	-2.751553000	25.6	18.174	135		
T	2016-11-13 10:33:03	51.346662000	-2.751490000	26.0	18.180	135		
T	2016-11-13 10:33:04	51.346626000	-2.751420000	26.4	18.186	135		
T	2016-11-13 10:33:05	51.346594000	-2.751357000	26.8	18.191	135		
T	2016-11-13 10:33:09	51.346474000	-2.751106000	27.4	18.213	135		
T	2016-11-13 10:33:10	51.346449000	-2.751046000	27.8	18.219	135		
T	2016-11-13 10:33:11	51.346422000	-2.750980000	28.2	18.224	134		
T	2016-11-13 10:33:12	51.346394000	-2.750920000	28.6	18.230	134		
T	2016-11-13 10:33:13	51.346367000	-2.750868000	29.2	18.235	133		
T	2016-11-13 10:33:15	51.346313000	-2.750787000	29.2	18.242	130		
T	2016-11-13 10:33:17	51.346243000	-2.750755000	29.2	18.250	129		
T	2016-11-13 10:33:18	51.346208000	-2.750770000	29.2	18.254	129		
T	2016-11-13 10:33:23	51.346025000	-2.750890000	29.2	18.276	132		
T	2016-11-13 10:33:24	51.345988000	-2.750911000	29.2	18.280	133		
T	2016-11-13 10:33:27	51.345867000	-2.750973000	29.6	18.293	133		
T	2016-11-13 10:33:28	51.345826000	-2.750988000	30.0	18.298	134		
T	2016-11-13 10:33:29	51.345784000	-2.751005000	30.4	18.302	134		
T	2016-11-13 10:33:30	51.345739000	-2.751019000	30.8	18.307	134		
T	2016-11-13 10:33:31	51.345694000	-2.751029000	31.2	18.312	134		
T	2016-11-13 10:33:32	51.345648000	-2.751034000	31.2	18.317	135		
T	2016-11-13 10:33:38	51.345359000	-2.750969000	31.2	18.349	136		
T	2016-11-13 10:33:39	51.345311000	-2.750941000	31.2	18.355	137		
T	2016-11-13 10:33:43	51.345125000	-2.750803000	31.2	18.378	139		
T	2016-11-13 10:33:52	51.344709000	-2.750416000	31.6	18.433	137		
T	2016-11-13 10:33:53	51.344666000	-2.750365000	32.0	18.439	137		
T	2016-11-13 10:33:54	51.344623000	-2.750310000	32.4	18.445	136		
T	2016-11-13 10:33:55	51.344578000	-2.750257000	32.8	18.451	136		
T	2016-11-13 10:33:56	51.344536000	-2.750206000	33.2	18.457	135		
T	2016-11-13 10:34:00	51.344345000	-2.750017000	33.2	18.482	135		
T	2016-11-13 10:34:07	51.343983000	-2.749736000	33.2	18.525	136		
T	2016-11-13 10:34:08	51.343933000	-2.749698000	33.8	18.531	135		
T	2016-11-13 10:34:09	51.343882000	-2.749660000	34.2	18.537	136		
T	2016-11-13 10:34:10	51.343833000	-2.749619000	34.8	18.544	135		
T	2016-11-13 10:34:11	51.343782000	-2.749574000	35.2	18.550	135		
T	2016-11-13 10:34:12	51.343733000	-2.749532000	35.8	18.556	135		
T	2016-11-13 10:34:17	51.343491000	-2.749317000	35.8	18.588	135		
T	2016-11-13 10:34:24	51.343141000	-2.748997000	35.8	18.634	135		
T	2016-11-13 10:34:34	51.342613000	-2.748542000	35.8	18.699	132		
T	2016-11-13 10:34:35	51.342561000	-2.748496000	35.8	18.705	132		
T	2016-11-13 10:34:42	51.342199000	-2.748147000	36.2	18.752	133		
T	2016-11-13 10:34:43	51.342144000	-2.748093000	36.6	18.759	133		
T	2016-11-13 10:34:44	51.342092000	-2.748044000	37.0	18.765	133		
T	2016-11-13 10:34:45	51.342041000	-2.747995000	37.4	18.772	133		
T	2016-11-13 10:34:46	51.341991000	-2.747948000	37.8	18.779	133		
T	2016-11-13 10:34:54	51.341587000	-2.747578000	37.8	18.832	132		
T	2016-11-13 10:35:02	51.341171000	-2.747184000	37.8	18.886	131		
T	2016-11-13 10:35:11	51.340690000	-2.746740000	37.8	18.947	131		
T	2016-11-13 10:35:12	51.340637000	-2.746694000	37.8	18.954	132		
T	2016-11-13 10:35:13	51.340583000	-2.746641000	38.2	18.961	132		
T	2016-11-13 10:35:14	51.340530000	-2.746590000	38.6	18.968	132		
T	2016-11-13 10:35:15	51.340476000	-2.746541000	39.2	18.975	132		
T	2016-11-13 10:35:16	51.340421000	-2.746491000	39.6	18.982	132		
T	2016-11-13 10:35:17	51.340367000	-2.746439000	40.0	18.989	132		
T	2016-11-13 10:35:21	51.340149000	-2.746230000	40.0	19.017	131		
T	2016-11-13 10:35:28	51.339770000	-2.745903000	40.0	19.065	131		
T	2016-11-13 10:35:35	51.339351000	-2.745650000	40.0	19.114	132		
T	2016-11-13 10:35:41	51.339005000	-2.745438000	40.4	19.155	132		
T	2016-11-13 10:35:42	51.338951000	-2.745404000	40.8	19.162	132		
T	2016-11-13 10:35:43	51.338896000	-2.745367000	41.2	19.169	132		
T	2016-11-13 10:35:44	51.338842000	-2.745334000	41.8	19.175	133		
T	2016-11-13 10:35:45	51.338786000	-2.745303000	42.2	19.182	132		
T	2016-11-13 10:35:53	51.338370000	-2.745068000	42.2	19.232	134		
T	2016-11-13 10:36:00	51.338022000	-2.744843000	42.2	19.275	134		
T	2016-11-13 10:36:10	51.337484000	-2.744534000	42.6	19.338	134		
T	2016-11-13 10:36:11	51.337428000	-2.744510000	43.0	19.344	134		
T	2016-11-13 10:36:12	51.337371000	-2.744486000	43.6	19.350	134		
T	2016-11-13 10:36:13	51.337315000	-2.744464000	44.0	19.357	134		
T	2016-11-13 10:36:14	51.337260000	-2.744442000	44.4	19.363	134		
T	2016-11-13 10:36:17	51.337094000	-2.744385000	44.4	19.382	133		
T	2016-11-13 10:36:20	51.336922000	-2.744338000	44.8	19.401	132		
T	2016-11-13 10:36:21	51.336866000	-2.744322000	45.4	19.408	132		
T	2016-11-13 10:36:22	51.336811000	-2.744307000	45.8	19.414	132		
T	2016-11-13 10:36:23	51.336753000	-2.744295000	46.2	19.421	132		
T	2016-11-13 10:36:24	51.336697000	-2.744280000	46.6	19.427	131		
T	2016-11-13 10:36:32	51.336251000	-2.744124000	46.6	19.478	134		
T	2016-11-13 10:36:38	51.335928000	-2.743946000	46.6	19.516	134		
T	2016-11-13 10:36:46	51.335475000	-2.743716000	46.6	19.568	134		
T	2016-11-13 10:36:47	51.335411000	-2.743709000	46.6	19.575	134		
T	2016-11-13 10:36:48	51.335353000	-2.743714000	47.0	19.582	134		
T	2016-11-13 10:36:49	51.335293000	-2.743731000	47.4	19.589	134		
T	2016-11-13 10:36:50	51.335235000	-2.743755000	47.8	19.596	134		
T	2016-11-13 10:36:51	51.335179000	-2.743780000	48.2	19.602	134		
T	2016-11-13 10:36:52	51.335126000	-2.743804000	48.6	19.609	134		
T	2016-11-13 10:36:55	51.334979000	-2.743909000	48.6	19.628	134		
T	2016-11-13 10:36:59	51.334834000	-2.744140000	49.0	19.651	134		
T	2016-11-13 10:37:00	51.334807000	-2.744202000	49.6	19.656	135		
T	2016-11-13 10:37:01	51.334781000	-2.744266000	50.0	19.661	135		
T	2016-11-13 10:37:02	51.334757000	-2.744328000	50.6	19.666	135		
T	2016-11-13 10:37:03	51.334731000	-2.744392000	51.0	19.671	135		
T	2016-11-13 10:37:05	51.334683000	-2.744512000	51.0	19.681	135		
T	2016-11-13 10:37:14	51.334474000	-2.745006000	51.4	19.721	137		
T	2016-11-13 10:37:15	51.334450000	-2.745051000	51.8	19.726	137		
T	2016-11-13 10:37:16	51.334420000	-2.745095000	52.4	19.730	136		
T	2016-11-13 10:37:17	51.334388000	-2.745141000	52.8	19.735	136		
T	2016-11-13 10:37:18	51.334358000	-2.745177000	53.2	19.740	136		
T	2016-11-13 10:37:19	51.334331000	-2.745212000	53.2	19.744	134		
T	2016-11-13 10:37:22	51.334272000	-2.745378000	53.2	19.757	133		
T	2016-11-13 10:37:23	51.334257000	-2.745449000	53.2	19.762	133		
T	2016-11-13 10:37:30	51.334126000	-2.745934000	53.2	19.800	134		
T	2016-11-13 10:37:40	51.333917000	-2.746603000	53.6	19.852	134		
T	2016-11-13 10:37:41	51.333894000	-2.746663000	54.0	19.858	134		
T	2016-11-13 10:37:42	51.333872000	-2.746726000	54.4	19.863	134		
T	2016-11-13 10:37:43	51.333850000	-2.746788000	54.8	19.868	134		
T	2016-11-13 10:37:44	51.333826000	-2.746848000	55.2	19.873	135		
T	2016-11-13 10:37:50	51.333690000	-2.747232000	55.2	19.905	136		
T	2016-11-13 10:37:51	51.333672000	-2.747300000	55.6	19.910	136		
T	2016-11-13 10:37:52	51.333653000	-2.747370000	56.2	19.916	136		
T	2016-11-13 10:37:53	51.333633000	-2.747445000	56.6	19.921	136		
T	2016-11-13 10:37:54	51.333611000	-2.747519000	57.0	19.927	136		
T	2016-11-13 10:37:55	51.333589000	-2.747592000	57.4	19.932	136		
T	2016-11-13 10:37:59	51.333499000	-2.747888000	57.4	19.955	137		
T	2016-11-13 10:38:08	51.333300000	-2.748585000	57.4	20.007	137		
T	2016-11-13 10:38:18	51.333031000	-2.749374000	57.4	20.069	136		
T	2016-11-13 10:38:20	51.332976000	-2.749523000	57.4	20.082	137		
T	2016-11-13 10:38:23	51.332891000	-2.749737000	57.8	20.099	136		
T	2016-11-13 10:38:24	51.332867000	-2.749808000	58.4	20.105	135		
T	2016-11-13 10:38:25	51.332833000	-2.749859000	58.8	20.111	135		
T	2016-11-13 10:38:26	51.332788000	-2.749879000	59.2	20.116	134		
T	2016-11-13 10:38:27	51.332743000	-2.749876000	59.6	20.122	132		
T	2016-11-13 10:38:29	51.332668000	-2.749836000	59.6	20.131	131		
T	2016-11-13 10:38:32	51.332628000	-2.749831000	59.6	20.138	128		
T	2016-11-13 10:38:37	51.332675000	-2.749862000	59.6	20.138	125		
T	2016-11-13 10:38:39	51.332731000	-2.749918000	59.6	20.142	124		
T	2016-11-13 10:38:44	51.332745000	-2.750206000	59.6	20.163	122		
T	2016-11-13 10:38:49	51.332668000	-2.750555000	59.6	20.188	123		
T	2016-11-13 10:38:53	51.332610000	-2.750841000	59.6	20.209	124		
T	2016-11-13 10:38:55	51.332580000	-2.750986000	59.6	20.221	124		
T	2016-11-13 10:39:02	51.332467000	-2.751530000	59.6	20.261	126		
T	2016-11-13 10:39:03	51.332448000	-2.751618000	60.0	20.267	127		
T	2016-11-13 10:39:04	51.332432000	-2.751709000	60.4	20.273	127		
T	2016-11-13 10:39:05	51.332416000	-2.751798000	61.0	20.279	128		
T	2016-11-13 10:39:06	51.332388000	-2.751883000	61.4	20.286	128		
T	2016-11-13 10:39:07	51.332349000	-2.751955000	61.8	20.293	128		
T	2016-11-13 10:39:09	51.332215000	-2.751975000	61.8	20.306	127		
T	2016-11-13 10:39:11	51.332103000	-2.751918000	61.8	20.318	125		
T	2016-11-13 10:39:13	51.332000000	-2.751864000	61.8	20.329	123		
T	2016-11-13 10:39:20	51.331656000	-2.751709000	61.8	20.369	124		
T	2016-11-13 10:39:25	51.331418000	-2.751639000	62.2	20.396	127		
T	2016-11-13 10:39:26	51.331370000	-2.751631000	62.6	20.402	127		
T	2016-11-13 10:39:27	51.331322000	-2.751620000	63.0	20.407	128		
T	2016-11-13 10:39:28	51.331275000	-2.751610000	63.4	20.412	129		
T	2016-11-13 10:39:29	51.331228000	-2.751601000	63.8	20.418	131		
T	2016-11-13 10:39:30	51.331181000	-2.751590000	63.8	20.423	131		
T	2016-11-13 10:39:36	51.330906000	-2.751541000	64.4	20.454	129		
T	2016-11-13 10:39:37	51.330862000	-2.751532000	64.8	20.459	129		
T	2016-11-13 10:39:38	51.330819000	-2.751523000	65.2	20.464	129		
T	2016-11-13 10:39:39	51.330778000	-2.751517000	65.8	20.469	130		
T	2016-11-13 10:39:40	51.330736000	-2.751508000	66.2	20.474	131		
T	2016-11-13 10:39:47	51.330447000	-2.751449000	66.2	20.507	133		
T	2016-11-13 10:39:51	51.330277000	-2.751415000	66.6	20.526	134		
T	2016-11-13 10:39:52	51.330236000	-2.751408000	67.2	20.530	134		
T	2016-11-13 10:39:53	51.330194000	-2.751398000	67.6	20.535	134		
T	2016-11-13 10:39:54	51.330151000	-2.751389000	68.0	20.540	134		
T	2016-11-13 10:39:55	51.330110000	-2.751381000	68.6	20.544	135		
T	2016-11-13 10:39:56	51.330065000	-2.751377000	68.6	20.549	135		
T	2016-11-13 10:39:57	51.330024000	-2.751372000	68.6	20.554	136		
T	2016-11-13 10:40:00	51.329895000	-2.751362000	69.0	20.568	138		
T	2016-11-13 10:40:01	51.329852000	-2.751362000	69.4	20.573	138		
T	2016-11-13 10:40:02	51.329809000	-2.751363000	69.8	20.577	138		
T	2016-11-13 10:40:03	51.329767000	-2.751370000	70.2	20.582	138		
T	2016-11-13 10:40:04	51.329725000	-2.751378000	70.8	20.587	138		
T	2016-11-13 10:40:05	51.329683000	-2.751385000	70.8	20.592	139		
T	2016-11-13 10:40:07	51.329609000	-2.751407000	71.2	20.601	140		
T	2016-11-13 10:40:08	51.329573000	-2.751421000	71.6	20.605	141		
T	2016-11-13 10:40:09	51.329540000	-2.751437000	72.0	20.609	141		
T	2016-11-13 10:40:10	51.329512000	-2.751449000	72.4	20.613	141		
T	2016-11-13 10:40:11	51.329481000	-2.751465000	72.8	20.616	142		
T	2016-11-13 10:40:13	51.329421000	-2.751497000	73.2	20.624	142		
T	2016-11-13 10:40:14	51.329394000	-2.751520000	73.6	20.627	142		
T	2016-11-13 10:40:15	51.329367000	-2.751544000	74.2	20.631	142		
T	2016-11-13 10:40:16	51.329339000	-2.751563000	74.6	20.635	142		
T	2016-11-13 10:40:17	51.329306000	-2.751585000	75.0	20.639	142		
T	2016-11-13 10:40:25	51.329063000	-2.751784000	75.0	20.670	143		
T	2016-11-13 10:40:28	51.328974000	-2.751852000	75.6	20.682	143		
T	2016-11-13 10:40:29	51.328939000	-2.751878000	76.0	20.686	143		
T	2016-11-13 10:40:30	51.328906000	-2.751904000	76.4	20.690	143		
T	2016-11-13 10:40:31	51.328873000	-2.751931000	77.0	20.694	143		
T	2016-11-13 10:40:32	51.328842000	-2.751956000	77.4	20.698	144		
T	2016-11-13 10:40:34	51.328776000	-2.752011000	77.4	20.707	144		
T	2016-11-13 10:40:39	51.328603000	-2.752141000	77.8	20.727	143		
T	2016-11-13 10:40:40	51.328568000	-2.752169000	78.2	20.731	143		
T	2016-11-13 10:40:41	51.328530000	-2.752207000	78.6	20.735	144		
T	2016-11-13 10:40:42	51.328494000	-2.752237000	79.2	20.740	144		
T	2016-11-13 10:40:43	51.328458000	-2.752267000	79.6	20.744	143		
T	2016-11-13 10:40:44	51.328423000	-2.752298000	79.6	20.748	143		
T	2016-11-13 10:40:50	51.328229000	-2.752431000	80.0	20.771	143		
T	2016-11-13 10:40:51	51.328201000	-2.752449000	80.6	20.775	142		
T	2016-11-13 10:40:52	51.328170000	-2.752466000	81.2	20.779	143		
T	2016-11-13 10:40:53	51.328142000	-2.752489000	81.6	20.782	142		
T	2016-11-13 10:40:54	51.328111000	-2.752510000	82.2	20.786	142		
T	2016-11-13 10:40:58	51.327987000	-2.752588000	82.2	20.801	142		
T	2016-11-13 10:41:01	51.327891000	-2.752627000	82.6	20.811	142		
T	2016-11-13 10:41:02	51.327858000	-2.752639000	83.0	20.815	142		
T	2016-11-13 10:41:03	51.327827000	-2.752650000	83.4	20.819	142		
T	2016-11-13 10:41:04	51.327796000	-2.752664000	84.0	20.822	143		
T	2016-11-13 10:41:05	51.327763000	-2.752678000	84.4	20.826	143		
T	2016-11-13 10:41:09	51.327641000	-2.752741000	84.4	20.840	143		
T	2016-11-13 10:41:13	51.327505000	-2.752816000	84.8	20.856	143		
T	2016-11-13 10:41:14	51.327467000	-2.752829000	85.4	20.860	143		
T	2016-11-13 10:41:15	51.327432000	-2.752834000	85.8	20.864	143		
T	2016-11-13 10:41:16	51.327393000	-2.752840000	86.4	20.869	143		
T	2016-11-13 10:41:17	51.327352000	-2.752854000	86.4	20.873	143		
T	2016-11-13 10:41:18	51.327313000	-2.752870000	86.8	20.877	143		
T	2016-11-13 10:41:26	51.327004000	-2.752950000	86.8	20.911	140		
T	2016-11-13 10:41:27	51.326966000	-2.752953000	86.8	20.915	140		
T	2016-11-13 10:41:29	51.326890000	-2.752957000	87.2	20.924	139		
T	2016-11-13 10:41:30	51.326853000	-2.752962000	87.6	20.928	140		
T	2016-11-13 10:41:31	51.326819000	-2.752975000	88.0	20.932	139		
T	2016-11-13 10:41:32	51.326782000	-2.752977000	88.4	20.936	140		
T	2016-11-13 10:41:33	51.326742000	-2.752970000	88.8	20.941	140		
T	2016-11-13 10:41:34	51.326703000	-2.752958000	88.8	20.945	140		
T	2016-11-13 10:41:43	51.326342000	-2.752915000	89.2	20.984	139		
T	2016-11-13 10:41:44	51.326303000	-2.752921000	89.6	20.988	139		
T	2016-11-13 10:41:45	51.326264000	-2.752917000	90.0	20.992	139		
T	2016-11-13 10:41:46	51.326229000	-2.752909000	90.4	20.997	139		
T	2016-11-13 10:41:47	51.326192000	-2.752899000	90.8	21.001	139		
T	2016-11-13 10:41:53	51.325972000	-2.752809000	90.8	21.026	139		
T	2016-11-13 10:41:54	51.325938000	-2.752800000	91.2	21.030	139		
T	2016-11-13 10:41:55	51.325902000	-2.752790000	91.6	21.034	139		
T	2016-11-13 10:41:56	51.325865000	-2.752788000	92.0	21.038	139		
T	2016-11-13 10:41:57	51.325828000	-2.752786000	92.4	21.043	140		
T	2016-11-13 10:41:58	51.325789000	-2.752781000	92.8	21.047	140		
T	2016-11-13 10:42:02	51.325620000	-2.752755000	92.8	21.066	139		
T	2016-11-13 10:42:04	51.325534000	-2.752757000	92.8	21.075	139		
T	2016-11-13 10:42:08	51.325365000	-2.752801000	92.8	21.094	140		
T	2016-11-13 10:42:11	51.325257000	-2.752901000	93.4	21.108	140		
T	2016-11-13 10:42:12	51.325220000	-2.752939000	93.8	21.113	140		
T	2016-11-13 10:42:13	51.325186000	-2.752973000	94.2	21.117	140		
T	2016-11-13 10:42:14	51.325147000	-2.753015000	94.6	21.122	140		
T	2016-11-13 10:42:15	51.325108000	-2.753051000	95.0	21.127	140		
T	2016-11-13 10:42:21	51.324913000	-2.753273000	95.4	21.154	140		
T	2016-11-13 10:42:22	51.324880000	-2.753290000	95.8	21.159	140		
T	2016-11-13 10:42:23	51.324841000	-2.753301000	96.2	21.163	140		
T	2016-11-13 10:42:24	51.324801000	-2.753301000	96.6	21.167	140		
T	2016-11-13 10:42:25	51.324762000	-2.753292000	97.0	21.172	141		
T	2016-11-13 10:42:26	51.324724000	-2.753278000	97.0	21.176	141		
T	2016-11-13 10:42:27	51.324686000	-2.753260000	97.4	21.180	141		
T	2016-11-13 10:42:28	51.324651000	-2.753241000	97.8	21.184	141		
T	2016-11-13 10:42:29	51.324617000	-2.753224000	98.4	21.188	141		
T	2016-11-13 10:42:30	51.324586000	-2.753211000	98.8	21.192	142		
T	2016-11-13 10:42:31	51.324552000	-2.753192000	99.2	21.195	142		
T	2016-11-13 10:42:32	51.324523000	-2.753160000	99.2	21.199	142		
T	2016-11-13 10:42:38	51.324335000	-2.753011000	99.6	21.221	143		
T	2016-11-13 10:42:39	51.324305000	-2.752976000	100.2	21.225	143		
T	2016-11-13 10:42:40	51.324276000	-2.752941000	100.6	21.229	143		
T	2016-11-13 10:42:41	51.324247000	-2.752904000	101.0	21.233	143		
T	2016-11-13 10:42:42	51.324217000	-2.752866000	101.4	21.236	143		
T	2016-11-13 10:42:49	51.324061000	-2.752691000	101.8	21.263	144		
T	2016-11-13 10:42:50	51.324042000	-2.752679000	102.2	21.267	144		
T	2016-11-13 10:42:51	51.324012000	-2.752656000	102.6	21.270	144		
